condition,avalanche_size
classical,4745
classical,4745
classical,4745
classical,4745
classical,1
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4745
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,1
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,2
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4684
classical,4688
classical,4688
classical,4688
classical,1
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4688
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4752
classical,4702
classical,1
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,1
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,2
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4761
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,2
classical,4750
classical,4750
classical,4750
classical,4750
classical,4750
classical,20
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,3
classical,1
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4
classical,4721
classical,4721
classical,4721
classical,1
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4665
classical,4665
classical,1
classical,4665
classical,1
classical,4665
classical,8
classical,4665
classical,4665
classical,4665
classical,4665
classical,16
classical,3
classical,4665
classical,4665
classical,4
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4665
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,32
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,1
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,1
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4674
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,1
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,4691
classical,1
classical,4691
classical,4691
classical,4691
classical,4691
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,1
classical,4627
classical,8
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,1
classical,4627
classical,4627
classical,4627
classical,4627
classical,4627
classical,1
classical,4627
classical,4627
classical,4627
classical,4627
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4655
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,1
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,1
classical,4675
classical,4675
classical,4675
classical,4675
classical,4675
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,1
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4667
classical,4667
classical,4667
classical,4667
classical,1
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,1
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,3
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,4689
classical,1
classical,4686
classical,4686
classical,4686
classical,4686
classical,8
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,1
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4666
classical,1
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4666
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,2
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4686
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,2
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4711
classical,4704
classical,4704
classical,2
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,1
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,2
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,1
classical,1
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4653
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,1
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,2
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4728
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,11
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,1
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,4587
classical,1
classical,4587
classical,4587
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,1
classical,4660
classical,4660
classical,4660
classical,1
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4660
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,1
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4714
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,4741
classical,1
classical,4741
classical,4741
classical,1
classical,4741
classical,4741
classical,4741
classical,4741
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,1
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4654
classical,4654
classical,4654
classical,2
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,1
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4720
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,1
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4677
classical,4734
classical,2
classical,4734
classical,2
classical,4734
classical,4734
classical,4734
classical,4734
classical,1
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4734
classical,4670
classical,1
classical,4670
classical,4670
classical,4670
classical,4670
classical,1
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,1
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4715
classical,4715
classical,4715
classical,4715
classical,1
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,1
classical,4715
classical,2
classical,4715
classical,4715
classical,4715
classical,4715
classical,1
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,4715
classical,1
classical,4715
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,1
classical,4713
classical,4713
classical,1
classical,4713
classical,4713
classical,4713
classical,4713
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,1
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,17
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,4651
classical,1
classical,4656
classical,2
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4656
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
